product_id,name,category,step,step,product_type,suitable_skin_types,safe_for_sensitive,primary_target,secondary_target,key_actives,contains_retinol,contains_acid,contains_vaitamin_c,prescripition_only,recommended_time,max_frequency
P070,Simple Hydrating Light Moisturizer,Moisturizer,Moisturize,4. Moisturize,Moisturizer,"All, sensitive",Yes,Hydration,Light,Hydrators,No,No,No,No,Both,Daily
P071,Pacci Pristine Slime Luxe Essence Hydrator,Serum,Treat,3. Treat,Essence,All,Yes,Hydration,Luxe feel,Hydrating actives,No,No,No,No,Both,Daily
P072,Pacci Pristine Slime Luxe Fusion Moisturizer,Moisturizer,Moisturize,4. Moisturize,Moisturizer,All,Yes,Hydration,Fusion,Hydrating actives,No,No,No,No,Both,Daily
P073,Facefacts Ceramide Skin Barrier Complex Moisturising Gel Cream,Moisturizer,Moisturize,4. Moisturize,Gel Cream,All,Yes,Barrier repair,Hydration,Ceramides,No,No,No,No,Both,Daily
P074,Facefacts Ceramide Skin Barrier Complex Blemish Gel Moisturizer,Moisturizer,Moisturize,4. Moisturize,Gel,Acne-prone,Yes,"Blemish, barrier",Soothing,Ceramides,No,No,No,No,Both,Daily
P075,Simple Moisturising Facial Wash,Cleanser,Cleanse,1. Cleanse,Wash,"All, sensitive",Yes,Gentle cleanse,Moisturizing,Gentle actives,No,No,No,No,Both,Daily
P076,Simple Refreshing Facial Wash,Cleanser,Cleanse,1. Cleanse,Wash,All,Yes,Refreshing,Cleanse,Refreshing agents,No,No,No,No,Both,Daily
P077,Simple Hydrating Light Moisturizer 12H Moisturisation,Moisturizer,Moisturize,4. Moisturize,Moisturizer,"All, sensitive",Yes,Hydration,Long-lasting,Hydrators,No,No,No,No,Both,Daily
P078,Bitnara Brightening & Hydrating Body Wash Luminous and Glowing Complexion,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,"Brightening, glow",Hydration,Brightening actives,No,No,No,No,Both,Daily
P079,Skeenpoint Glow Booster Exfoliating Lightening Body Wash,Body Wash,Cleanse/Exfoliate,1. Cleanse,Wash,All,Moderate,"Lightening, exfoliation",Glow,"Exfoliants, lighteners",No,No,No,No,Night,Daily
P080,Skeenpoint Glow and Radiance Brightening Body Wash,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,"Brightening, radiance",Glow,Brightening actives,No,No,No,No,Both,Daily
P081,Aqua Rich Bright + Glow Body Gel Wash,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,"Brightening, glow",Cleansing,Brightening actives,No,No,No,No,Both,Daily
P082,Pei Mei Hyaluronic Acid Serum,Serum,Treat,3. Treat,Serum,Dry,Yes,Hydration,Plumping,Hyaluronic Acid,No,No,No,No,Both,Daily
P083,"Dr. Rashel Fade Spots Night Cream Arbutin, Niacinamide",Moisturizer,Moisturize,4. Moisturize,Cream,Hyperpigmentation,Yes,Fade spots,Brightening,"Arbutin, Niacinamide",No,No,No,No,Night,Daily
P084,Dr. Rashel White Skin Whitening Fade Spots Serum,Serum,Treat,3. Treat,Serum,Hyperpigmentation,Yes,"Whitening, fade spots",Brightening,Whitening actives,No,No,No,No,Night,Daily
P085,Beauty Formulas Moisture Serum 1% Hyaluronic Acid,Serum,Treat,3. Treat,Serum,"All, dry",Yes,Hydration,Plumping,Hyaluronic Acid 1%,No,No,No,No,Both,Daily
P086,Beauty Formulas Illuminating Serum 10% Niacinamide,Serum,Treat,3. Treat,Serum,All,Yes,Brightening,Pore care,Niacinamide 10%,No,No,No,No,Both,Daily
P087,Nivea Soft Nemledirici Bakim Kremi,Moisturizer,Moisturize,4. Moisturize,Cream,All,Yes,Hydration,Softening,Emollients,No,No,No,No,Both,Daily
P088,Veet Gold Retinol Intensive Whitening Body Oil,Oil,Moisturize,4. Moisturize,Oil,All except sensitive,Moderate,"Whitening, anti-aging",Intensive,Retinol,Yes,No,No,No,Night,Daily (build)
P089,Veet Gold Vitamin C Oil Face and Body SPF15,Oil,Protect/Moisturize,5. Protect,Oil,All,Yes,"Brightening, protection",SPF15,"Vitamin C, SPF",No,No,Yes,No,Morning,Daily
P090,Veet Gold Alpha Arbutin x3 Face and Body SPF15,Oil,Protect/Moisturize,5. Protect,Oil,Hyperpigmentation,Yes,Brightening,SPF15,"Alpha Arbutin, SPF",No,No,No,No,Morning,Daily
P091,Alpha Arbutin 3+ Collagen Soap,Cleanser,Cleanse,1. Cleanse,Soap,All,Moderate,Brightening,Hydration,"Alpha Arbutin, Collagen",No,No,No,No,Both,Daily
P092,SK Duchess Glow Shower Gel Amino Acid & Glycolic Acid PH5.5,Body Wash,Cleanse,1. Cleanse,Shower Gel,All,Moderate,"Glow, exfoliation",Gentle,"Amino Acids, Glycolic",No,Yes (AHA),No,No,Both,Daily
P093,SK Duchess Glow Shower Gel Blood Orange Blossom Premium Skin Glowing,Body Wash,Cleanse,1. Cleanse,Shower Gel,All,Yes,Glow,Premium,"Fragrance, glow actives",No,No,No,No,Both,Daily
P094,Skin by Zaron Vitamin C Body Wash,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,Brightening,Cleansing,Vitamin C,No,No,Yes,No,Both,Daily
P095,Advance Clinicals Retinol Advance Firming Cream,Moisturizer,Moisturize,4. Moisturize,Cream,All except sensitive,Moderate,"Firming, anti-aging",Hydration,Retinol,Yes,No,No,No,Night,Daily (build tolerance)
P096,Advance Clinicals Vitamin C Brightening Cream,Moisturizer,Moisturize,4. Moisturize,Cream,All,Yes,Brightening,Anti-aging,Vitamin C,No,No,Yes,No,Morning,Daily
P097,Facefact Kojic Acid Body Lotion with Retinol,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Moderate,Brightening,Anti-aging,"Kojic Acid, Retinol",Yes,No,No,No,Night,Daily (build)
P098,Facefact Vitamin C Body Lotion,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,Brightening,Hydration,Vitamin C,No,No,Yes,No,Morning,Daily
P099,Facefact Ceramide Serum Nourish + Restore,Serum,Treat,3. Treat,Serum,All,Yes,"Nourish, restore",Barrier,Ceramides,No,No,No,No,Both,Daily
P100,Cosmo Glow White Whitening Body Scrub,Scrub,Exfoliate,6. Exfoliate (Physical),Scrub,All,Moderate,"Whitening, exfoliation",Brightening,Whitening agents,No,No,No,No,Night,2-3x/week
P101,Alpha Arbutin Sugar Scrub AHA30% + BHA 2%,Scrub,Exfoliate,6. Exfoliate (Physical),Scrub,All except sensitive,No,"Brightening, exfoliation","Acne, texture","AHA 30%, BHA 2%, Alpha Arbutin",No,Yes (AHA/BHA),No,No,Night,2-3x/week
P102,Golden Glow Intensive Whitening Exfoliating Shower Gel,Body Wash,Cleanse/Exfoliate,1. Cleanse,Shower Gel,All,Moderate,"Whitening, exfoliation",Glow,"Exfoliants, whitening",No,No,No,No,Both,Daily
P103,Dove Nourishing Silk Body Wash,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,Nourishing,Silk feel,Nourishing agents,No,No,No,No,Both,Daily
P104,Advance Korean Skin Bright & Fair Body Gel Wash,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,Brightening,Cleansing,Brightening actives,No,No,No,No,Both,Daily
P105,Advance Korean Skin Bright & Clear Body Gel Wash,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,"Brightening, clarity",Cleansing,Brightening actives,No,No,No,No,Both,Daily
P106,Niu Skin Total Effects Platinum White Perfumed Body Lotion No.5,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,Whitening,Perfumed hydration,Whitening actives,No,No,No,No,Both,Daily
P107,Niu Skin Total Effects Platinum White Perfumed Body Lotion Oud Wood,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,Whitening,Perfumed hydration,Whitening actives,No,No,No,No,Both,Daily
P108,Nivea Body Lotion Radiant & Beauty Even Glow 95% Pure Vitamin C,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,Even glow,Brightening,Vitamin C 95%,No,No,Yes,No,Morning,Daily
P109,Aqua Rich Bright + Glow Body Lotion Licorice Mulberry Root Extract,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,"Brightening, glow",Hydration,"Licorice, Mulberry",No,No,No,No,Both,Daily
P110,Aqua Rich Hydrating Bright Body Lotion Turmeric Vitamin C,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,"Brightening, hydration",Glow,"Turmeric, Vitamin C",No,No,Yes,No,Both,Daily
P111,Bitnara Brightening & Hydrating Body Lotion Niacinamide + Vitamin C + Hyaluronic Acid,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,"Brightening, hydration",Glow,"Niacinamide, Vitamin C, HA",No,No,Yes,No,Both,Daily
P112,Facefacts Ceramide Skin Barrier Complex Oil Control Moisturising Gel Cream 5 Ceramides + Hyaluronic Acid + Niacinamide,Moisturizer,Moisturize,4. Moisturize,Gel Cream,Oily,Yes,"Oil control, barrier",Hydration,"5 Ceramides, HA, Niacinamide",No,No,No,No,Both,Daily
P113,Bitnara Vitamin C Ferulic Acid + Vitamin E Serum,Serum,Treat,3. Treat,Serum,All,Yes,"Brightening, antioxidant",Anti-aging,"Vitamin C, Ferulic, Vitamin E",No,No,Yes,No,Morning,Daily
P114,Balance Active Formula Niacinamide Blemish Recovery Serum Calm & Clear 15% Active Niacinamide,Serum,Treat,3. Treat,Serum,Acne-prone,Yes,"Blemish, calming",Clarity,Niacinamide 15%,No,No,No,No,Both,Daily
P115,Veet Gold Spa Skin Whitening Tomato Scrub Face and Body,Scrub,Exfoliate,6. Exfoliate (Physical),Scrub,All,Moderate,Whitening,Exfoliation,"Tomato, whitening",No,No,No,No,Night,2-3x/week
P116,Veet Gold Vitamin C Extra Whitening Scrub Face and Body,Scrub,Exfoliate,6. Exfoliate (Physical),Scrub,All,Moderate,Extra whitening,Exfoliation,Vitamin C,No,No,Yes,No,Night,2-3x/week
P117,Bitnara Exfoliating Toner Glycolic Acid 7.5% PH-3.6,Toner,Tone/Exfoliate,2. Tone/Exfoliate,Toner,All except sensitive,No,Exfoliation,Texture,Glycolic Acid 7.5%,No,Yes (AHA),No,No,Night,3-4x/week
P118,Simple Micellar Water,Cleanser,Cleanse,1. Cleanse,Water,"All, sensitive",Yes,Gentle cleanse,Makeup removal,Micelles,No,No,No,No,Both,Daily
P119,Facefact Soothie + Glow Niacinamide Serum,Serum,Treat,3. Treat,Serum,All,Yes,"Soothing, glow",Brightening,Niacinamide,No,No,No,No,Both,Daily
P120,Facefact Glow + Resurface Lactic Acid AHA Serum 3%,Serum,Treat,3. Treat,Serum,All except sensitive,Moderate,"Glow, resurface",Exfoliation,Lactic Acid 3%,No,Yes (AHA),No,No,Night,3x/week
P121,St. Ives Soothing Body Wash Oatmeal & Shea Butter,Body Wash,Cleanse,1. Cleanse,Wash,"Dry, sensitive",Yes,Soothing,Hydration,"Oatmeal, Shea Butter",No,No,No,No,Both,Daily
P122,St. Ives Refreshing Body Wash Rose Water & Aloe Vera,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,Refreshing,Hydration,"Rose Water, Aloe",No,No,No,No,Both,Daily
P123,St. Ives Pampering Body Wash Vanilla & Oat Milk,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,Pampering,Nourishing,"Vanilla, Oat Milk",No,No,No,No,Both,Daily
P124,St. Ives Exfoliating Body Wash Sea Salt & Pacific Kelp,Body Wash,Cleanse/Exfoliate,1. Cleanse,Wash,All,Moderate,Exfoliation,Smoothing,"Sea Salt, Kelp",No,No,No,No,Both,Daily
P125,Bitnara Refreshing Foaming Cleanser,Cleanser,Cleanse,1. Cleanse,Cleanser,All,Yes,Refreshing cleanse,Hydration,Gentle actives,No,No,No,No,Both,Daily
P126,Bitnara Renewing & Exfoliation Cleanser 2% Salicylic + 5% Glycolic,Cleanser,Cleanse,1. Cleanse,Cleanser,Acne-prone,Moderate,"Exfoliation, acne",Clarity,"Salicylic 2%, Glycolic 5%",No,Yes (BHA/AHA),No,No,Night,Daily
P127,Bitnara Hydrating Facial Cleanser,Cleanser,Cleanse,1. Cleanse,Cleanser,"All, dry",Yes,Hydration,Gentle cleanse,Hydrating agents,No,No,No,No,Both,Daily
P128,Dr Teals Body Lotion Vitamin C Glow & Radiance,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,"Glow, radiance",Brightening,Vitamin C,No,No,Yes,No,Morning,Daily
P129,Dr Teals Body Wash with Pure Epsom Vitamin C Glow & Radiance,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,"Glow, radiance",Cleansing,"Vitamin C, Epsom",No,No,Yes,No,Both,Daily
P130,Advance Korean Skin Bright & Dewy Body Lotion,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,"Brightening, dewy",Hydration,Brightening agents,No,No,No,No,Both,Daily
P131,Advance Korean Skin Bright & Moisture Body Lotion,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,"Brightening, hydration",Moisture,Brightening agents,No,No,No,No,Both,Daily
P132,Medix 5.5 Retinol + Ferulic Acid,Moisturizer,Moisturize,4. Moisturize,Cream,All except sensitive,Moderate,Anti-aging,Brightening,"Retinol, Ferulic Acid",Yes,No,No,No,Night,Daily (build)
P133,Facefact Ceramide Blemish Clarifying Foaming Cleanser,Cleanser,Cleanse,1. Cleanse,Cleanser,Acne-prone,Yes,Blemish clarifying,Foaming,Ceramides,No,No,No,No,Both,Daily
P134,Facefact Ceramide Oil Control Foaming Cleanser,Cleanser,Cleanse,1. Cleanse,Cleanser,Oily,Yes,Oil control,Cleansing,Ceramides,No,No,No,No,Both,Daily
P135,Advance Clinicals Retinol Advanced Firming Cream,Moisturizer,Moisturize,4. Moisturize,Cream,All except sensitive,Moderate,"Firming, anti-aging",Hydration,Retinol,Yes,No,No,No,Night,Daily (build tolerance)
P136,Advance Clinicals Vitamin C Advanced Brightening Cream,Moisturizer,Moisturize,4. Moisturize,Cream,All,Yes,Brightening,Anti-aging,Vitamin C,No,No,Yes,No,Morning,Daily
P137,COSRX Salicylic Acid Daily Gentle Cleanser,Cleanser,Cleanse,1. Cleanse,Cleanser,Acne-prone,Yes,"Acne, gentle cleanse",Pore care,Salicylic Acid,No,Yes (BHA),No,No,Both,Daily
P138,Trilumá Cream (Hydroquinone 4% + Tretinoin 0.05% + Fluocinolone 0.01%),Moisturizer,Treat,3. Treat,Cream,Melasma,No,"Melasma, hyperpigmentation",Inflammation reduction,"Hydroquinone 4%, Tretinoin 0.05%, Fluocinolone 0.01%",Yes,No,No,Yes,Night,Short-term (8 weeks)
P139,ANUA Niacinamide 10% + TXA 4% Serum,Serum,Treat,3. Treat,Serum,"All, acne-prone",Yes,"Brightening, blemish",Pore care,"Niacinamide 10%, Tranexamic Acid 4%",No,No,No,No,Both,Daily
